gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,click_mean,submit_early,preview,click_std
M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,7.981481481,1,1,9.007074591
F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,8.407407407,-0.5,7,3.538654005
F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,11.75925926,2.5,5,2.743366097
F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,5.666666667,-14,8,3.197831246
M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,12.05555556,-5,9,2.860343923
M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,9.537037037,-0.5,4,6.455247556
F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,10.40740741,-1,3,2.415027239
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,10.24074074,0,2,3.340278921
M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,10.83333333,6,5,2.860843542
M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,10.33333333,1,5,4.421153295
F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,10.37037037,0,4,2.970467554
M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,10.55555556,1,5,4.588875896
F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,14.35185185,3,9,3.893325926
M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,13.77777778,0,8,3.710212624
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,3.092592593,2.5,1,3.174358629
F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,7.481481481,1,2,4.199405873
M,Ireland,HE Qualification,,35-55,0,60,N,Pass,19.90740741,0.5,10,3.678677538
M,East Anglian Region,A Level or Equivalent,10-20%,35-55,0,150,N,Fail,1.203703704,-1.5,1,1.586064104
M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,13.94444444,1.5,6,3.434283038
M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,5.981481481,0.5,4,2.330294603
M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,9.37037037,-6,3,3.001728771
M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,0,,4,3.356606298
M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,19.35185185,3,7,9.099810873
M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,5.833333333,3,2,3.231382838
M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,28.7037037,2.5,7,7.905509628
M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,12.88888889,0,8,2.60064431
M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,8.444444444,1,2,4.74755934
M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,18.14814815,-9.5,10,5.308463843
M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,6.074074074,-11.5,,4.406767246
M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,4.462962963,0.5,6,4.255471815
M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,6.277777778,0,3,2.704657172
F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,0,,5,5.809542337
M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,27.14814815,-3.5,2,5.691698958
F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,8.351851852,1,2,4.774111215
M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,8.092592593,1.5,6,3.207377575
M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,11.31481481,-10.5,,5.343521443
M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,5.703703704,5,6,2.678417586
M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,2.203703704,0,1,2.186815034
M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,18.16666667,-3,1,4.871297434
F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,8.777777778,-7,4,2.941611232
M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,13.31481481,0.5,2,3.91576677
F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,2.092592593,1,2,3.963683175
F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,13.61111111,1,6,9.876292142
F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,4.944444444,2.5,,2.66360066
M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,30.92592593,2,5,4.109103894
F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,13.48148148,0,3,3.039688569
M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,0,,,2.338009384
F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,7.148148148,-4.5,2,4.07368051
F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,26.33333333,-1,5,3.284570275
M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,4.037037037,0,2,3.800354069
F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,2.907407407,-3.5,3,2.099177361
M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,6.240740741,1,4,2.87716629
F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,0,,2,4.124938905
F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,15.11111111,-7.5,9,2.757710759
F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,0.740740741,2,,1.271225028
M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,8.925925926,0,4,4.14624795
F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,21.77777778,1,8,4.884878716
F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,6.351851852,-18,6,2.640075651
F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,8.425925926,-5.5,3,4.220166206
M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,11.7962963,-3.5,8,3.814728532
M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,2.018518519,1,1,2.111684932
F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,8.888888889,0,3,2.80742032
F,West Midlands Region,Lower Than A Level,10-20%,35-55,0,60,N,Pass,5.87037037,0,,2.649482892
M,Ireland,HE Qualification,,35-55,0,60,N,Pass,5.259259259,-7,7,3.212149558
F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,3,1,3,2.806894354
M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,32.64814815,2,9,4.000841034
M,North Region,HE Qualification,,35-55,0,60,N,Pass,25.87037037,2,8,3.07331027
M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,18.2037037,-1,5,8.297628698
F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,1.833333333,-29,1,4.658255726
M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,12.44444444,1,5,2.543520726
F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,0,,3,4.139935523
F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,11.87037037,-1.5,5,3.933984273
M,London Region,A Level or Equivalent,10-20%,0-35,0,180,N,Pass,6.351851852,0,1,3.104525425
M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,9.407407407,1,9,3.002208959
M,London Region,HE Qualification,10-20%,0-35,0,120,N,Fail,0,,4,4.904718194
M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,8.907407407,-14,10,4.754332875
M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,49.46296296,2,10,5.071198449
M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,0,,2,4.399494615
M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,10,-3,2,4.082620828
F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,14.7962963,-2,6,4.007418539
M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,0,0,1,6.812575446
M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,4.666666667,1,6,2.754750893
F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,13.77777778,-8.5,8,4.698386936
M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,12.33333333,0,6,3.046200322
M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,4.277777778,-2,1,3.663198171
F,London Region,A Level or Equivalent,10-20%,35-55,0,60,N,Pass,16.22222222,0.5,9,3.046846663
M,Ireland,HE Qualification,,0-35,0,180,N,Fail,12.37037037,0.5,4,3.693650465
M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,1.759259259,0,3,1.346269528
M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,2.462962963,-3.5,,2.739724768
M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,5.5,0,2,3.68868119
M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,6.185185185,1,3,2.590428046
M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,14.77777778,0,5,5.082334077
M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,0,,3,2.818134866
M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,3.518518519,-2,,3.790065899
M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,8.722222222,0,6,2.401039856
M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,1.87037037,0,1,1.92401841
M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,4,1,1,2.512233861
M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,10.83333333,7.5,7,3.236379366
F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,5.833333333,-5,4,2.840579454
M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,3.407407407,1,3,3.667063119
M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,7.537037037,0.5,6,4.166284032
M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,14.01851852,-3.5,9,3.622167375
M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,20.66666667,-3.5,9,3.687578354
M,North Western Region,HE Qualification,10-20%,0-35,0,120,N,Pass,5.981481481,-9,4,3.075113868
F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,4.148148148,-2.5,5,2.735797227
F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,17.64814815,-6.5,10,5.078038738
F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,3.981481481,-3.5,3,6.02536605
M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,8.092592593,0.5,3,3.198115894
F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,19.96296296,1,6,4.246903854
M,East Anglian Region,A Level or Equivalent,10-20%,35-55,0,90,N,Fail,22.88888889,2.5,1,4.585317185
M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,0,,1,3.747865306
M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,23.37037037,0,6,8.13939709
F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,20.59259259,-9.5,2,6.085382101
M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,6.666666667,0.5,5,7.255661897
F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,3.981481481,-1.5,1,2.674315012
M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,0.907407407,1.5,2,1.021574707
M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,15.68518519,-4.5,5,4.992486249
M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,6.092592593,0.5,3,4.015993021
M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,4.425925926,-0.5,2,3.567811697
M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,13.51851852,-3,1,4.714124542
M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,3.388888889,1,1,2.264072156
M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,29.5,-2.5,8,3.395106728
M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,0.5,,1,1.211542924
M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,10.42592593,3.5,5,5.879923865
M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,6.296296296,1,,5.188643875
M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,8.037037037,1,1,2.597701795
M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Pass,10.07407407,1.5,5,3.94942711
F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,4,-7,5,2.481024601
M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,8,2.5,6,2.719283706
F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,5.333333333,-2,2,3.045216886
M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,0,,2,3.016740731
M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,7.814814815,0,5,3.281628019
M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,6.518518519,0.5,,3.717751
M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,7.444444444,6.5,7,3.872741589
