,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,click_mean,preview,submit_early,click_std
0,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,-159.0,4.529914529914531,1.0,1.3333333333333333,7.507390633051055
1,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,-53.0,5.82051282051282,7.0,-1.6666666666666667,3.249481315990098
2,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-52.0,9.076923076923077,5.0,2.333333333333333,2.7555804373084087
3,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-176.0,3.8632478632478633,8.0,-11.666666666666664,3.1856824879213925
4,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-110.0,8.495726495726496,9.0,-3.333333333333333,2.802058720657982
5,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,-67.0,5.247863247863248,4.0,-0.3333333333333333,5.400180558011973
6,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-29.0,6.478632478632479,3.0,-0.3333333333333333,2.2871414330142033
7,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,-33.0,8.683760683760683,2.0,0.0,3.310268689304306
8,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,-179.0,12.632478632478634,5.0,5.0,2.8471330150148586
9,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-103.0,6.666666666666668,5.0,1.0,4.228960767793339
10,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-47.0,7.188034188034187,4.0,-0.6666666666666666,3.05421590493029
11,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-59.0,5.965811965811965,5.0,0.6666666666666666,3.9982841852553936
12,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-68.0,14.136752136752136,9.0,3.0,3.4538749315277038
13,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-67.0,11.598290598290598,8.0,0.0,4.287961427766792
14,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-180.0,,1.0,,
15,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-95.0,4.871794871794871,2.0,1.3333333333333333,3.955560857752402
16,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-130.0,12.427350427350428,10.0,0.3333333333333333,3.31034400524864
17,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,-50.0,0.5982905982905983,1.0,-2.0,1.3268004982376589
18,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107.0,11.367521367521366,6.0,1.3333333333333333,3.5322718493273904
19,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-27.0,3.47008547008547,4.0,1.0,2.2822260218406
20,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-31.0,6.7435897435897445,3.0,-5.666666666666668,2.7361453759517067
21,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-170.0,,4.0,,2.7406575654645553
22,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-107.0,11.547008547008549,7.0,5.666666666666668,8.589404882028935
23,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-62.0,3.6666666666666665,2.0,2.333333333333333,3.149833430068397
24,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-103.0,17.897435897435898,7.0,2.0,6.785044466962689
25,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-107.0,8.239316239316237,8.0,0.0,2.3688118625314907
26,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-100.0,5.854700854700853,2.0,0.6666666666666666,4.3190057334082494
27,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,-109.0,12.76068376068376,10.0,-6.333333333333332,5.4648580985296515
28,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,5.0,3.743589743589744,,-7.0,3.8649750788067276
29,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-107.0,2.1538461538461537,6.0,0.3333333333333333,3.539526681914444
30,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-110.0,3.743589743589744,3.0,0.3333333333333333,2.5709350652237153
31,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-43.0,11.41880341880342,5.0,,5.414978739491961
32,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-26.0,17.871794871794872,2.0,-1.0,4.88955754017302
33,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,-29.0,4.128205128205129,2.0,1.0,3.9715475535907427
34,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,-68.0,5.418803418803419,6.0,-1.0,2.940144150355941
35,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,-68.0,8.179487179487179,,-11.666666666666664,4.819576454528821
36,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-32.0,4.606837606837607,6.0,4.333333333333333,2.5163245429205277
37,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,-99.0,1.6666666666666667,1.0,0.0,2.4629363330416774
38,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-82.0,11.384615384615385,1.0,-2.0,4.2154000072205315
39,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,-31.0,6.384615384615384,4.0,-4.666666666666667,2.834683611289067
40,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-197.0,7.811965811965813,2.0,-3.0,3.48237581003385
41,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,-75.0,1.7692307692307692,2.0,1.0,3.7651133357938305
42,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-96.0,10.752136752136753,6.0,1.0,8.686863931407148
43,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,-32.0,,,,2.241179587892092
44,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-195.0,23.256410256410252,5.0,1.3333333333333333,3.829548767920143
45,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,-61.0,8.538461538461537,3.0,0.0,2.7169476509205768
46,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,-110.0,,,,1.9349914519686955
47,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-37.0,6.7435897435897445,2.0,-3.0,3.652603917597651
48,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-67.0,20.78632478632479,5.0,-0.6666666666666666,3.1837077237555547
49,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,-36.0,2.034188034188034,2.0,-3.333333333333333,3.506440840394457
50,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,-132.0,3.4786324786324787,3.0,-2.333333333333333,2.7555547932322235
51,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-92.0,3.3076923076923075,4.0,-1.3333333333333333,2.4788759953903305
52,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,-138.0,,2.0,,
53,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-174.0,10.598290598290598,9.0,-6.666666666666668,2.797411955740962
54,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,-44.0,0.5641025641025641,,4.333333333333333,1.2243000757090816
55,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,-16.0,6.982905982905983,4.0,0.0,4.012796727535813
56,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-54.0,14.435897435897436,8.0,1.0,4.454558524557228
57,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-64.0,,6.0,,3.15445433242536
58,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-52.0,6.145299145299147,3.0,-10.666666666666666,4.347445405323568
59,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,-46.0,,8.0,,3.7887363292405047
60,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-64.0,1.8547008547008548,1.0,1.0,2.035342760920901
61,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-117.0,6.102564102564102,3.0,-2.333333333333333,2.8227584852119008
62,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-32.0,3.495726495726496,,0.0,2.5741369805713292
63,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-50.0,5.3418803418803416,7.0,-7.0,2.791688563761516
64,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,-45.0,3.1794871794871797,3.0,0.0,4.196059134279166
65,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-162.0,24.5982905982906,9.0,2.0,3.5890964519509967
66,M,North Region,HE Qualification,,35-55,0,60,N,Pass,-195.0,20.094017094017094,8.0,1.6666666666666667,2.894072694817729
67,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,-92.0,10.239316239316238,5.0,-1.3333333333333333,7.243115565048319
68,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,-57.0,0.9316239316239316,1.0,-19.0,3.8128282820299866
69,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,-64.0,8.256410256410257,5.0,2.0,2.3802455624283922
70,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,-39.0,,3.0,,6.44924109907523
71,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-128.0,7.846153846153847,5.0,-1.0,3.7170359810415694
72,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,-32.0,4.0,1.0,-0.3333333333333333,2.789563240013503
73,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,-74.0,6.35042735042735,9.0,0.6666666666666666,2.6610343439185873
74,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,-12.0,,4.0,,
75,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,-109.0,8.153846153846152,10.0,-12.666666666666664,5.093261414774592
76,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-136.0,33.384615384615394,10.0,2.0,4.706393803165988
77,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,-57.0,,2.0,,3.9946257950084645
78,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-180.0,6.666666666666668,2.0,-1.0,3.9137194446952113
79,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-62.0,11.094017094017094,6.0,-1.0,3.5994836448800855
